Midpoint,Steepness,AvgGuesses,WinRate,Wins,Losses,Fail,Solve1,Solve2,Solve3,Solve4,Solve5,Solve6,ExecutionTimeMs
0.625,16,3.9142,0.9892,2284,25,25,0,46,719,1040,395,84,19898
0.6,16,3.9190,0.9883,2282,27,27,0,44,715,1045,394,84,19765
0.6,19,3.9199,0.9892,2284,25,25,0,42,719,1037,404,82,19910
0.625,13,3.9199,0.9883,2282,27,27,0,47,711,1042,398,84,19810
0.6,13,3.9207,0.9887,2283,26,26,0,46,714,1038,399,86,19907
0.6,23,3.9212,0.9896,2285,24,24,0,41,720,1041,394,89,19900
0.625,26,3.9225,0.9887,2283,26,26,0,46,711,1039,402,85,19919
0.625,19,3.9238,0.9887,2283,26,26,0,44,713,1040,399,87,19778
0.625,23,3.9251,0.9887,2283,26,26,0,43,713,1034,412,81,19968
0.575,23,3.9255,0.9887,2283,26,26,0,43,700,1059,400,81,19808
0.625,10,3.9259,0.9879,2281,28,28,0,47,702,1052,391,89,19913
0.6,26,3.9264,0.9896,2285,24,24,0,43,711,1035,413,83,19761
0.575,19,3.9281,0.9887,2283,26,26,0,42,709,1042,405,85,19933
0.55,16,3.9294,0.9892,2284,25,25,0,44,707,1037,410,86,19890
0.55,16,3.9298,0.9892,2284,25,25,0,44,706,1038,410,86,19782
0.575,16,3.9298,0.9900,2286,23,23,0,42,709,1039,407,89,19887
0.575,26,3.9311,0.9887,2283,26,26,0,41,707,1041,410,84,19835
0.55,26,3.9316,0.9896,2285,24,24,0,40,702,1045,420,78,19879
0.55,26,3.9316,0.9896,2285,24,24,0,40,702,1045,420,78,19800
0.575,13,3.9320,0.9887,2283,26,26,0,44,698,1047,411,83,19771
0.55,19,3.9324,0.9909,2288,21,21,0,41,693,1061,409,84,19858
0.55,23,3.9324,0.9900,2286,23,23,0,41,695,1051,423,76,19812
0.55,19,3.9324,0.9909,2288,21,21,0,41,693,1061,409,84,19788
0.55,23,3.9324,0.9900,2286,23,23,0,41,695,1051,423,76,19867
0.6,10,3.9333,0.9879,2281,28,28,0,46,693,1056,397,89,19741
0.55,10,3.9337,0.9887,2283,26,26,0,43,688,1069,397,86,19897
0.55,10,3.9337,0.9887,2283,26,26,0,44,686,1070,397,86,19748
0.625,7,3.9363,0.9861,2277,32,32,0,47,685,1070,382,93,19788
0.6,7,3.9372,0.9857,2276,33,33,0,46,688,1062,391,89,19928
0.55,13,3.9407,0.9896,2285,24,24,0,43,692,1046,415,89,19891
0.55,13,3.9407,0.9896,2285,24,24,0,44,690,1047,415,89,19847
0.575,10,3.9437,0.9887,2283,26,26,0,44,684,1057,406,92,19887
0.5,19,3.9467,0.9896,2285,24,24,0,41,691,1038,428,87,19783
0.575,7,3.9467,0.9866,2278,31,31,0,43,684,1062,393,96,19811
0.475,19,3.9472,0.9887,2283,26,26,0,41,696,1034,420,92,19912
0.55,7,3.9472,0.9857,2276,33,33,0,44,682,1062,394,94,19789
0.55,7,3.9476,0.9857,2276,33,33,0,43,683,1062,394,94,19921
0.475,23,3.9485,0.9896,2285,24,24,0,40,684,1057,411,93,19755
0.5,13,3.9498,0.9887,2283,26,26,0,41,679,1063,407,93,19761
0.475,10,3.9502,0.9900,2286,23,23,0,40,685,1055,408,98,19835
0.5,10,3.9506,0.9887,2283,26,26,0,41,677,1068,401,96,19886
0.5,16,3.9506,0.9900,2286,23,23,0,41,677,1060,417,91,19858
0.5,23,3.9506,0.9900,2286,23,23,0,39,679,1061,417,90,19909
0.45,19,3.9528,0.9883,2282,27,27,0,42,677,1051,426,86,19791
0.625,5,3.9528,0.9853,2275,34,34,0,41,681,1060,400,93,19859
0.475,16,3.9537,0.9896,2285,24,24,0,43,684,1039,423,96,19745
0.475,26,3.9545,0.9900,2286,23,23,0,40,673,1062,420,91,19793
0.45,16,3.9550,0.9905,2287,22,22,0,39,688,1037,428,95,19872
0.5,26,3.9563,0.9905,2287,22,22,0,41,667,1065,424,90,19779
0.45,26,3.9593,0.9892,2284,25,25,0,40,668,1066,416,94,19774
0.475,13,3.9597,0.9892,2284,25,25,0,42,680,1036,431,95,19858
0.45,10,3.9602,0.9896,2285,24,24,0,41,680,1045,416,103,19922
0.425,26,3.9606,0.9892,2284,25,25,0,44,663,1059,426,92,19866
0.45,13,3.9606,0.9879,2281,28,28,0,40,678,1049,417,97,19759
0.5,7,3.9606,0.9857,2276,33,33,0,42,676,1048,417,93,19900
0.425,23,3.9610,0.9896,2285,24,24,0,43,667,1055,425,95,19791
0.45,23,3.9628,0.9887,2283,26,26,0,40,681,1033,435,94,19915
0.425,19,3.9649,0.9913,2289,20,20,0,42,670,1045,431,101,19876
0.6,5,3.9654,0.9853,2275,34,34,0,46,664,1061,400,104,19747
0.475,7,3.9671,0.9853,2275,34,34,0,45,660,1063,408,99,19934
0.55,5,3.9684,0.9848,2274,35,35,0,47,656,1067,401,103,19753
0.425,16,3.9688,0.9896,2285,24,24,0,41,658,1062,428,96,19720
0.55,5,3.9688,0.9848,2274,35,35,0,46,657,1067,401,103,19860
0.4,26,3.9693,0.9896,2285,24,24,0,40,661,1060,426,98,19781
0.4,13,3.9701,0.9883,2282,27,27,0,46,653,1067,410,106,19743
0.4,23,3.9706,0.9900,2286,23,23,0,41,660,1053,436,96,19952
0.425,13,3.9718,0.9896,2285,24,24,0,41,664,1052,423,105,19909
0.575,5,3.9718,0.9848,2274,35,35,0,44,658,1063,407,102,19928
0.4,19,3.9731,0.9900,2286,23,23,0,42,660,1052,428,104,19889
0.4,16,3.9736,0.9896,2285,24,24,0,40,658,1064,417,106,19934
0.375,26,3.9762,0.9892,2284,25,25,0,43,657,1053,424,107,19895
0.45,7,3.9762,0.9857,2276,33,33,0,46,645,1071,412,102,19958
0.425,10,3.9766,0.9861,2277,32,32,0,42,662,1052,414,107,19754
0.375,23,3.9779,0.9892,2284,25,25,0,42,653,1057,428,104,19787
0.375,19,3.9783,0.9892,2284,25,25,0,42,653,1058,425,106,19820
0.375,16,3.9788,0.9870,2279,30,30,0,42,653,1057,426,101,19735
0.425,7,3.9801,0.9870,2279,30,30,0,46,646,1059,424,104,19829
0.375,10,3.9866,0.9866,2278,31,31,0,43,633,1079,420,103,19719
0.375,13,3.9874,0.9853,2275,34,34,0,45,634,1073,419,104,19845
0.5,5,3.9874,0.9857,2276,33,33,0,44,644,1061,417,110,19788
0.4,7,3.9879,0.9870,2279,30,30,0,45,644,1052,430,108,19715
0.475,5,3.9887,0.9870,2279,30,30,0,45,637,1066,421,110,19863
0.4,10,3.9892,0.9866,2278,31,31,0,44,638,1067,419,110,19902
0.45,5,3.9913,0.9857,2276,33,33,0,46,635,1059,431,105,19728
0.425,5,3.9944,0.9848,2274,35,35,0,41,637,1066,424,106,19952
0.375,7,3.9961,0.9861,2277,32,32,0,45,631,1062,430,109,19895
0.4,5,3.9978,0.9853,2275,34,34,0,44,636,1059,421,115,19867
0.375,5,4.0052,0.9857,2276,33,33,0,43,618,1079,422,114,35245
